name,type,summary,state,updated,lat,lng,size,url,id,contained
Stubblefield,Wildfire,There are multiple fires burning in Yosemite National Park...,CALIFORNIA,2021-07-21 23:12:10,38.059,-119.59,2 Acres,/incident/7669/,7669,0
Quartzite,Wildfire,There are multiple fires burning in Yosemite National Park...,CALIFORNIA,2021-07-21 23:02:42,37.702,-119.467,0 Acres,/incident/7612/,7612,100
Elements Fire,Wildfire,The Elements Fire was discovered on July 11 the result of area...,ARIZONA,2021-07-21 15:52:16,35.451,-114.083,"1,343 Acres",/incident/7652/,7652,100
Too Kush 2,Wildfire,"The Too Kush 2 wildfire was started by lightning on July 2, 2021. It...",IDAHO,2021-07-21 13:26:21,46.145,-115.907,"1,341 Acres",/incident/7659/,7659,90
Creek Fire,Wildfire,"CLOVIS, Calif., December 24, 2020 – For Immediate Release. With the...",CALIFORNIA,2021-07-21 11:52:38,37.201,-119.272,"379,895 Acres",/incident/7147/,7147,100
Backbone Post-Fire BAER,Burned Area Emergency Response,THREE PHASES OF WILDFIRE RECOVERY There are three phases of recovery...,ARIZONA,2021-07-20 21:13:03,34.377,-111.643,0 Acres,/incident/7602/,7602,0
Red Apple,Wildfire,The Red Apple Fire was first reported to RIVERCOM at 6:55 p.m. on...,WASHINGTON,2021-07-20 21:05:30,47.508,-120.426,"12,288 Acres",/incident/7667/,7667,90
Darlene,Wildfire,"The Darlene Fire was reported on private lands on July 13, 2021 at...",OREGON,2021-07-20 19:27:52,43.646,-121.474,686 Acres,/incident/7665/,7665,95
Salt Fire,Wildfire," July 20, 2021:      |     Maps    ...",CALIFORNIA,2021-07-20 09:27:47,40.849,-122.336,"12,660 Acres",/incident/7587/,7587,100
O'Connell Fire,Wildfire,"The fire was first reported on Monday, July 12th at 6 am that was...",ARIZONA,2021-07-19 18:37:37,36.003,-112.204,190 Acres,/incident/7661/,7661,100
Bear Fire,Wildfire,The Bear Fire started June 16 about 10 miles south of Hannigan...,ARIZONA,2021-07-19 14:07:56,33.458,-109.392,"24,067 Acres",/incident/7553/,7553,50
Park Lake Fire,Wildfire, A 3-5 acre fire is burning on the east side of Park Lake on the...,MONTANA,2021-07-19 12:01:21,46.448,-112.157,3 Acres,/incident/7673/,7673,0
Fork,Wildfire,There are multiple fires burning in Yosemite National Park...,CALIFORNIA,2021-07-18 14:09:52,37.702,-119.486,12 Acres,/incident/7610/,7610,100
Clark,Wildfire,There are multiple fires burning in Yosemite National Park...,CALIFORNIA,2021-07-18 12:00:29,37.686,-119.468,0 Acres,/incident/7611/,7611,100
MY Complex,Wildfire,"The MY Complex consists of three wildland fires reported on July 8,...",MONTANA,2021-07-17 07:17:51,46.254,-107.638,"27,811 Acres",/incident/7645/,7645,93
Lyle Hill,Wildfire," The Lyle Hill fire started just NE of Lyle, WA on July 12, 2021....",WASHINGTON,2021-07-16 20:33:30,45.698,-121.271,135 Acres,/incident/7662/,7662,90
